time,Np,Nc,N
0.402976,1,4,32
0.437901,1,8,32
0.176786,2,1,32
0.380053,4,1,32
0.468628,8,1,32
0.667244,1,1,1
0.618897,1,2,1
0.620264,1,4,1
0.624482,1,8,1
0.614243,2,1,1
0.624014,4,1,1
0.642382,8,1,1
0.313240,1,1,2
0.304851,1,2,2
0.383187,1,4,2
0.420152,1,8,2
0.342888,2,1,2
0.445406,4,1,2
0.477917,8,1,2
0.189181,1,1,4
0.212378,1,2,4
0.378526,1,4,4
0.426968,1,8,4
0.240799,2,1,4
0.403901,4,1,4
0.455524,8,1,4
0.119764,1,1,8
0.159072,1,2,8
0.391847,1,4,8
0.442512,1,8,8
0.170641,2,1,8
0.387877,4,1,8
0.445966,8,1,8
0.092926,1,1,16
0.165740,1,2,16
0.365268,1,4,16
0.426266,1,8,16
0.168506,2,1,16
0.412934,4,1,16
0.438722,8,1,16
0.115980,1,1,32
0.137148,1,2,32
0.389788,1,4,32
0.444377,1,8,32
0.172191,2,1,32
0.410956,4,1,32
0.467475,8,1,32
0.650278,1,1,1
0.606809,1,2,1
0.638598,1,4,1
0.621293,1,8,1
0.617948,2,1,1
0.639384,4,1,1
0.653144,8,1,1
0.292001,1,1,2
0.280255,1,2,2
0.390825,1,4,2
0.439342,1,8,2
0.352659,2,1,2
0.437088,4,1,2
0.466683,8,1,2
0.181687,1,1,4
0.207020,1,2,4
0.381026,1,4,4
0.434933,1,8,4
0.235596,2,1,4
0.394896,4,1,4
0.450860,8,1,4
0.121463,1,1,8
0.170258,1,2,8
0.363451,1,4,8
0.463779,1,8,8
0.195389,2,1,8
0.398326,4,1,8
0.471011,8,1,8
0.118107,1,1,16
0.165521,1,2,16
0.387247,1,4,16
0.447552,1,8,16
0.170325,2,1,16
0.391678,4,1,16
0.460422,8,1,16
0.116588,1,1,32
0.162835,1,2,32
0.371194,1,4,32
0.446232,1,8,32
0.154611,2,1,32
0.393052,4,1,32
0.451072,8,1,32
0.668401,1,1,1
0.633079,1,2,1
0.621987,1,4,1
0.619965,1,8,1
0.625042,2,1,1
0.623622,4,1,1
0.628557,8,1,1
0.303217,1,1,2
0.264923,1,2,2
0.398807,1,4,2
0.422743,1,8,2
0.331531,2,1,2
0.442800,4,1,2
0.470471,8,1,2
0.180414,1,1,4
0.217255,1,2,4
0.386614,1,4,4
0.426672,1,8,4
0.233482,2,1,4
0.421949,4,1,4
0.451442,8,1,4
0.120046,1,1,8
0.176901,1,2,8
0.405874,1,4,8
0.448611,1,8,8
0.190462,2,1,8
0.394318,4,1,8
0.473429,8,1,8
0.116733,1,1,16
0.157828,1,2,16
0.397383,1,4,16
0.445125,1,8,16
0.171918,2,1,16
0.393845,4,1,16
0.483349,8,1,16
0.117412,1,1,32
0.143443,1,2,32
0.391056,1,4,32
0.454466,1,8,32
0.165205,2,1,32
0.393647,4,1,32
0.464018,8,1,32
