time, Np, Nc, N
0.241875, 2, 1, 4
0.399497, 4, 1, 4
0.427390, 8, 1, 4
0.120425, 1, 1, 8
0.166909, 1, 2, 8
0.375588, 1, 4, 8
0.437694, 1, 8, 8
0.188627, 2, 1, 8
0.398445, 4, 1, 8
0.458912, 8, 1, 8
0.121258, 1, 1, 16
0.173160, 1, 2, 16
0.390310, 1, 4, 16
0.450443, 1, 8, 16
0.166443, 2, 1, 16
0.404758, 4, 1, 16
0.436752, 8, 1, 16
0.111239, 1, 1, 32
0.163342, 1, 2, 32
0.383768, 1, 4, 32
0.467322, 1, 8, 32
0.178154, 2, 1, 32
0.409484, 4, 1, 32
0.479807, 8, 1, 32
0.624777, 1, 1, 1
0.616474, 1, 2, 1
0.637122, 1, 4, 1
0.646171, 1, 8, 1
0.645193, 2, 1, 1
0.609912, 4, 1, 1
0.602041, 8, 1, 1
0.292885, 1, 1, 2
0.271428, 1, 2, 2
0.368790, 1, 4, 2
0.400234, 1, 8, 2
0.330322, 2, 1, 2
0.427721, 4, 1, 2
0.468971, 8, 1, 2
0.180206, 1, 1, 4
0.215319, 1, 2, 4
0.369679, 1, 4, 4
0.437275, 1, 8, 4
0.239102, 2, 1, 4
0.402156, 4, 1, 4
0.457597, 8, 1, 4
0.120254, 1, 1, 8
0.182191, 1, 2, 8
0.397758, 1, 4, 8
0.511840, 1, 8, 8
0.211747, 2, 1, 8
0.442058, 4, 1, 8
0.460159, 8, 1, 8
0.114601, 1, 1, 16
0.154324, 1, 2, 16
0.373207, 1, 4, 16
0.422907, 1, 8, 16
0.168518, 2, 1, 16
0.391072, 4, 1, 16
0.433957, 8, 1, 16
0.114441, 1, 1, 32
0.161601, 1, 2, 32
0.379679, 1, 4, 32
0.405439, 1, 8, 32
0.165862, 2, 1, 32
0.396522, 4, 1, 32
0.449733, 8, 1, 32
0.646141, 1, 1, 1
0.621381, 1, 2, 1
0.605921, 1, 4, 1
0.616673, 1, 8, 1
0.587518, 2, 1, 1
0.591423, 4, 1, 1
0.610135, 8, 1, 1
0.295080, 1, 1, 2
0.261321, 1, 2, 2
0.380028, 1, 4, 2
0.399841, 1, 8, 2
0.289261, 2, 1, 2
0.427393, 4, 1, 2
0.434515, 8, 1, 2
0.180506, 1, 1, 4
0.203937, 1, 2, 4
0.376969, 1, 4, 4
0.436112, 1, 8, 4
0.249637, 2, 1, 4
